Timestamp[s],Einspeisung[W],Netztbezug[W],Solarleistung[W],Batterieladeleistung[W],Batterieentladung[W]
1407103352,9.12341137124,4.96755852843,NaN,NaN,NaN
1407103354,NaN,NaN,NaN,0,376.428571429
1407103651,4.536,6.40866666667,NaN,NaN,NaN
1407103656,NaN,NaN,NaN,0,361.071428571
1407103951,7.73344481605,9.79331103679,NaN,0,350.740740741
1407104248,NaN,NaN,NaN,0,355.714285714
1407104251,5.0342192691,6.94086378738,NaN,NaN,NaN
1407104549,NaN,NaN,NaN,0,348.214285714
1407104551,4.62633333333,6.93333333333,NaN,NaN,NaN
1407104850,NaN,NaN,NaN,0,356.785714286
1407104851,4.22166666667,5.42366666667,NaN,NaN,NaN
1407105150,NaN,NaN,NaN,0,474.642857143
1407105151,7.241,9.63266666667,NaN,NaN,NaN
1407105451,4.52933333333,5.29766666667,NaN,0,468.571428571
1407105751,4.692,5.308,NaN,NaN,NaN
1407105752,NaN,NaN,NaN,0,457.5
1407106051,4.40133333333,6.26366666667,NaN,NaN,NaN
1407106054,NaN,NaN,NaN,0,432.142857143
1407106352,3.63887043189,4.49800664452,NaN,NaN,NaN
1407106354,NaN,NaN,NaN,0,430.357142857
1407106652,5.99899665552,6.18929765886,NaN,NaN,NaN
1407106655,NaN,NaN,NaN,0,394.642857143
1407106952,5.61096345515,5.99102990033,NaN,NaN,NaN
1407106956,NaN,NaN,NaN,0,360.714285714
1407107252,5.49533333333,5.57933333333,NaN,0,362.592592593
1407107548,NaN,NaN,NaN,0,377.142857143
1407107552,8.589,9.57,NaN,NaN,NaN
1407107849,NaN,NaN,NaN,0,352.857142857
1407107852,4.19130434783,5.92107023411,NaN,NaN,NaN
1407108150,NaN,NaN,NaN,0,339.642857143
1407108151,3.91133333333,5.02933333333,NaN,NaN,NaN
1407108451,3.86478405316,6.15249169435,NaN,0,342.142857143
1407108751,5.914,4.80033333333,NaN,NaN,NaN
1407108752,NaN,NaN,NaN,0,341.428571429
1407109051,4.75117056856,7.10568561873,NaN,NaN,NaN
1407109053,NaN,NaN,NaN,0,337.142857143
1407109351,7.53355481728,10.0946843854,NaN,NaN,NaN
1407109354,NaN,NaN,NaN,0,352.142857143
1407109651,6.42533333333,8.07566666667,NaN,NaN,NaN
1407109655,NaN,NaN,NaN,0,424.642857143
1407109951,3.54966666667,4.87933333333,NaN,0,497.777777778
1407110247,NaN,NaN,NaN,0,473.928571429
1407110251,4.501,4.423,NaN,NaN,NaN
1407110548,NaN,NaN,NaN,0,434.642857143
1407110551,9.292,7.164,NaN,NaN,NaN
1407110849,NaN,NaN,NaN,0,297.142857143
1407110851,3.31966666667,5.98933333333,NaN,NaN,NaN
1407111150,NaN,NaN,NaN,0,293.214285714
1407111151,3.85766666667,5.15,NaN,NaN,NaN
1407111451,5.32433333333,5.75066666667,NaN,0,235.714285714
1407111751,4.25366666667,4.82733333333,NaN,NaN,NaN
1407111752,NaN,NaN,NaN,0,209.642857143
1407112052,4.73455149502,5.86644518272,NaN,0,203.214285714
1407112352,4.4745819398,4.34849498328,NaN,NaN,NaN
1407112353,NaN,NaN,NaN,0,206.785714286
1407112651,3.94333333333,5.001,NaN,NaN,NaN
1407112654,NaN,NaN,NaN,0,204.285714286
1407112952,4.15481727575,5.92724252492,NaN,NaN,NaN
1407112955,NaN,NaN,NaN,0,206.428571429
1407113252,4.65333333333,5.564,NaN,NaN,NaN
1407113256,NaN,NaN,NaN,0,207.142857143
1407113551,4.71939799331,5.75050167224,NaN,0,205.925925926
1407113847,NaN,NaN,NaN,0,205.357142857
1407113851,4.57342192691,6.29169435216,NaN,NaN,NaN
1407114148,NaN,NaN,NaN,0,208.571428571
1407114151,4.72240802676,4.8635451505,NaN,NaN,NaN
1407114449,NaN,NaN,NaN,0,246.071428571
1407114451,6.35448504983,8.55481727575,NaN,NaN,NaN
1407114750,NaN,NaN,NaN,0,308.928571429
1407114751,3.86766666667,5.481,NaN,NaN,NaN
1407115051,4.15,4.89233333333,NaN,0,301.428571429
1407115351,3.65433333333,4.933,NaN,NaN,NaN
1407115352,NaN,NaN,NaN,0,295.357142857
1407115651,4.99366666667,5.053,NaN,NaN,NaN
1407115653,NaN,NaN,NaN,0,295.357142857
1407115951,4.04333333333,5.87633333333,NaN,NaN,NaN
1407115954,NaN,NaN,NaN,0,292.5
1407116252,5.10996677741,6.10996677741,NaN,NaN,NaN
1407116255,NaN,NaN,NaN,0,228.571428571
1407116552,4.63311036789,5.25585284281,NaN,NaN,NaN
1407116555,NaN,NaN,NaN,0,205.357142857
1407116851,4.16,6.335,NaN,NaN,NaN
1407116856,NaN,NaN,NaN,0,221.785714286
1407117152,3.97607973422,4.93388704319,NaN,0,221.481481481
1407117448,NaN,NaN,NaN,0,219.642857143
1407117452,3.85733333333,4.87933333333,NaN,NaN,NaN
1407117749,NaN,NaN,NaN,0,216.785714286
1407117752,4.4635451505,5.98294314381,NaN,NaN,NaN
1407118050,NaN,NaN,NaN,0,206.785714286
1407118052,4.38438538206,4.34518272425,NaN,NaN,NaN
1407118351,NaN,NaN,NaN,0,202.5
1407118352,4.14113712375,5.64882943144,NaN,NaN,NaN
1407118651,3.69667774086,4.20996677741,NaN,NaN,NaN
1407118652,NaN,NaN,NaN,0,203.214285714
1407118951,4.69066666667,4.96033333333,NaN,NaN,NaN
1407118953,NaN,NaN,NaN,0,204.285714286
1407119251,4.46421404682,7.88227424749,NaN,NaN,NaN
1407119253,NaN,NaN,NaN,0,228.214285714
1407119551,4.6,3.96810631229,NaN,NaN,NaN
1407119554,NaN,NaN,NaN,0,309.285714286
1407119851,3.501,4.869,NaN,NaN,NaN
1407119855,NaN,NaN,NaN,0,298.214285714
1407120151,3.86266666667,6.21133333333,NaN,NaN,NaN
1407120156,NaN,NaN,NaN,0,294.642857143
1407120451,4.34733333333,5.28466666667,NaN,NaN,NaN
1407120452,NaN,NaN,NaN,0,291.851851852
1407120748,NaN,NaN,NaN,0,291.428571429
1407120751,4.32066666667,5.58133333333,NaN,NaN,NaN
1407121049,NaN,NaN,NaN,0,240.714285714
1407121051,5.15333333333,5.41366666667,NaN,NaN,NaN
1407121350,NaN,NaN,NaN,0,198.214285714
1407121351,4.92,5.71966666667,NaN,NaN,NaN
1407121651,4.811,4.81566666667,NaN,0,201.071428571
1407121951,3.787,6.39433333333,NaN,NaN,NaN
1407121952,NaN,NaN,NaN,0,202.5
1407122251,4.59333333333,7.71833333333,NaN,NaN,NaN
1407122253,NaN,NaN,NaN,0,262.857142857
1407122552,4.95448504983,30.8704318937,NaN,NaN,NaN
1407122554,NaN,NaN,NaN,0,1943.92857143
1407122852,29.1277591973,28.9772575251,NaN,NaN,NaN
1407122855,NaN,NaN,NaN,0,1645.35714286
1407123152,32.6916943522,5.74983388704,NaN,NaN,NaN
1407123156,NaN,NaN,NaN,0,1028.92857143
1407123452,6.38266666667,9.28766666667,NaN,0,395.185185185
1407123748,NaN,NaN,NaN,0,537.142857143
1407123751,6.62274247492,9.36555183946,NaN,NaN,NaN
1407124049,NaN,NaN,NaN,0,547.5
1407124050,5.853,6.87233333333,NaN,NaN,NaN
1407124208,NaN,NaN,0,NaN,NaN
1407124350,4.386,5.33633333333,NaN,0,531.428571429
1407124506,NaN,NaN,0,NaN,NaN
1407124650,3.65666666667,6.73833333333,NaN,NaN,NaN
1407124651,NaN,NaN,NaN,0,527.142857143
1407124806,NaN,NaN,0,NaN,NaN
1407124951,7.74053156146,10.0890365449,NaN,NaN,NaN
1407124952,NaN,NaN,NaN,0,532.5
1407125251,8.69133333333,4.875,NaN,NaN,NaN
1407125253,NaN,NaN,NaN,0,412.857142857
1407125551,4.57166666667,6.257,NaN,NaN,NaN
1407125554,NaN,NaN,NaN,0,346.071428571
1407125851,5.86433333333,6.67866666667,NaN,NaN,NaN
1407125855,NaN,NaN,NaN,0,348.928571429
1407126151,5.51433333333,4.867,NaN,NaN,NaN
1407126155,NaN,NaN,NaN,0,348.571428571
1407126312,NaN,NaN,0,NaN,NaN
1407126452,5.95980066445,6.94850498339,NaN,NaN,NaN
1407126456,NaN,NaN,NaN,0,300.357142857
1407126635,NaN,NaN,66,NaN,NaN
1407126752,5.924,8.50266666667,NaN,0,217.777777778
1407126913,NaN,NaN,73,NaN,NaN
1407127048,NaN,NaN,NaN,0,173.928571429
1407127052,6.67993311037,6.38528428094,NaN,NaN,NaN
1407127207,NaN,NaN,89,NaN,NaN
1407127349,NaN,NaN,NaN,0,151.428571429
1407127352,5.95880398671,5.53754152824,NaN,NaN,NaN
1407127507,NaN,NaN,94,NaN,NaN
1407127650,NaN,NaN,NaN,0,146.428571429
1407127652,5.509,6.45233333333,NaN,NaN,NaN
1407127811,NaN,NaN,115,NaN,NaN
1407127951,NaN,NaN,NaN,0,137.5
1407127952,6.179,6.30766666667,NaN,NaN,NaN
1407128126,NaN,NaN,182,NaN,NaN
1407128252,5.16933333333,6.25633333333,NaN,0,117.142857143
1407128415,NaN,NaN,252,NaN,NaN
1407128552,6.705,9.11566666667,NaN,NaN,NaN
1407128553,NaN,NaN,NaN,0,52.8571428571
1407128713,NaN,NaN,294,NaN,NaN
1407128852,6.413,6.046,NaN,NaN,NaN
1407128854,NaN,NaN,NaN,431.785714286,0
1407129008,NaN,NaN,235,NaN,NaN
1407129151,5.71333333333,7.218,NaN,NaN,NaN
1407129155,NaN,NaN,NaN,0,86.0714285714
1407129308,NaN,NaN,201,NaN,NaN
1407129451,7.86166666667,7.627,NaN,NaN,NaN
1407129456,NaN,NaN,NaN,0,631.321428571
1407129621,NaN,NaN,248,NaN,NaN
1407129751,6.03933333333,5.50866666667,NaN,NaN,NaN
1407129753,NaN,NaN,NaN,0,424.777777778
1407129913,NaN,NaN,336,NaN,NaN
1407130049,NaN,NaN,NaN,113.928571429,0
1407130051,6.041,6.83233333333,NaN,NaN,NaN
1407130235,NaN,NaN,386,NaN,NaN
1407130350,NaN,NaN,NaN,225.357142857,0
1407130351,6.68966666667,5.76866666667,NaN,NaN,NaN
1407130510,NaN,NaN,489,NaN,NaN
1407130651,3.99466666667,7.29033333333,NaN,195.714285714,0
1407130811,NaN,NaN,353,NaN,NaN
1407130951,5.92833333333,7.57833333333,NaN,NaN,NaN
1407130952,NaN,NaN,NaN,666.678571429,0
1407131114,NaN,NaN,365,NaN,NaN
1407131251,4.66566666667,8.05566666667,NaN,NaN,NaN
1407131253,NaN,NaN,NaN,0,421.392857143
1407131407,NaN,NaN,347,NaN,NaN
1407131551,4.97933333333,5.895,NaN,NaN,NaN
1407131554,NaN,NaN,NaN,0,540
1407131710,NaN,NaN,273,NaN,NaN
1407131851,3.63233333333,6.379,NaN,NaN,NaN
1407131855,NaN,NaN,NaN,0,92.5
1407132018,NaN,NaN,225,NaN,NaN
1407132151,6.97433333333,9.26066666667,NaN,NaN,NaN
1407132155,NaN,NaN,NaN,0,196.428571429
1407132325,NaN,NaN,272,NaN,NaN
1407132452,7.05946843854,6.49468438538,NaN,NaN,NaN
1407132456,NaN,NaN,NaN,0,203.571428571
1407132614,NaN,NaN,561,NaN,NaN
1407132752,7.07859531773,4.58528428094,NaN,NaN,NaN
1407132753,NaN,NaN,NaN,50,0
1407132912,NaN,NaN,567,NaN,NaN
1407133048,NaN,NaN,NaN,789.357142857,0
1407133052,5.34019933555,5.95282392027,NaN,NaN,NaN
1407133208,NaN,NaN,684,NaN,NaN
1407133349,NaN,NaN,NaN,118.928571429,0
1407133352,5.47658862876,5.27190635452,NaN,NaN,NaN
1407133509,NaN,NaN,788,NaN,NaN
1407133650,NaN,NaN,NaN,342.857142857,0
1407133652,5.91262458472,5.52292358804,NaN,NaN,NaN
1407133811,NaN,NaN,794,NaN,NaN
1407133951,3.36722408027,9.46488294314,NaN,171.071428571,0
1407134110,NaN,NaN,401,NaN,NaN
1407134251,7.44584717608,4.54219269103,NaN,NaN,NaN
1407134252,NaN,NaN,NaN,270.107142857,0
1407134408,NaN,NaN,710,NaN,NaN
1407134551,4.67166666667,7.94866666667,NaN,NaN,NaN
1407134553,NaN,NaN,NaN,1453.35714286,0
1407134711,NaN,NaN,490,NaN,NaN
1407134851,6.87466666667,8.48266666667,NaN,NaN,NaN
1407134853,NaN,NaN,NaN,0,37.5
1407135017,NaN,NaN,671,NaN,NaN
1407135151,9.04533333333,9.89833333333,NaN,NaN,NaN
1407135154,NaN,NaN,NaN,0,209.178571429
1407135319,NaN,NaN,712,NaN,NaN
1407135451,11.1513333333,7.776,NaN,NaN,NaN
1407135455,NaN,NaN,NaN,323.214285714,0
1407135610,NaN,NaN,867,NaN,NaN
1407135752,4.92358803987,7.83687707641,NaN,NaN,NaN
1407135756,NaN,NaN,NaN,352.5,0
1407135909,NaN,NaN,767,NaN,NaN
1407136052,4.28494983278,6.86254180602,NaN,365.185185185,0
1407136207,NaN,NaN,653,NaN,NaN
1407136348,NaN,NaN,NaN,195,0
1407136352,6.20531561462,9.95481727575,NaN,NaN,NaN
1407136509,NaN,NaN,478,NaN,NaN
1407136649,NaN,NaN,NaN,0,1486.03571429
1407136652,49.3966555184,56.4799331104,NaN,NaN,NaN
1407136819,NaN,NaN,507,NaN,NaN
1407136950,NaN,NaN,NaN,0,556.071428571
1407136951,29.3616666667,25.6806666667,NaN,NaN,NaN
1407137109,NaN,NaN,442,NaN,NaN
1407137251,NaN,NaN,NaN,0,114.285714286
1407137252,46.7641196013,45.9910299003,NaN,NaN,NaN
1407137413,NaN,NaN,712,NaN,NaN
1407137551,NaN,NaN,NaN,0,202.142857143
1407137552,10.3053511706,27.274916388,NaN,NaN,NaN
1407137709,NaN,NaN,657,NaN,NaN
1407137851,26.6966666667,15.757,NaN,NaN,NaN
1407137852,NaN,NaN,NaN,0,1159.82142857
1407138008,NaN,NaN,834,NaN,NaN
1407138152,21.203654485,14.8744186047,NaN,NaN,NaN
1407138153,NaN,NaN,NaN,406.928571429,0
1407138316,NaN,NaN,1375,NaN,NaN
1407138452,10.3451505017,13.3294314381,NaN,NaN,NaN
1407138454,NaN,NaN,NaN,382.142857143,0
1407138615,NaN,NaN,937,NaN,NaN
1407138751,5.786,12.6616666667,NaN,NaN,NaN
1407138755,NaN,NaN,NaN,0,586.642857143
1407138910,NaN,NaN,462,NaN,NaN
1407139051,9.80398671096,7.68471760797,NaN,NaN,NaN
1407139056,NaN,NaN,NaN,0,470.178571429
1407139211,NaN,NaN,761,NaN,NaN
1407139351,8.03866666667,9.05866666667,NaN,NaN,NaN
1407139352,NaN,NaN,NaN,657.925925926,0
1407139512,NaN,NaN,540,NaN,NaN
1407139648,NaN,NaN,NaN,55.2142857143,0
1407139651,8.10366666667,6.42433333333,NaN,NaN,NaN
1407139809,NaN,NaN,691,NaN,NaN
1407139949,NaN,NaN,NaN,190,0
1407139951,5.084,7.11566666667,NaN,NaN,NaN
1407140111,NaN,NaN,651,NaN,NaN
1407140250,NaN,NaN,NaN,143.214285714,0
1407140251,7.68366666667,8.47033333333,NaN,NaN,NaN
1407140423,NaN,NaN,726,NaN,NaN
1407140551,6.23166666667,6.22266666667,NaN,263.928571429,0
1407140707,NaN,NaN,761,NaN,NaN
1407140851,7.35533333333,7.43966666667,NaN,NaN,NaN
1407140852,NaN,NaN,NaN,272.142857143,0
1407141019,NaN,NaN,786,NaN,NaN
1407141151,11.443,13.371,NaN,NaN,NaN
1407141153,NaN,NaN,NaN,260,0
1407141311,NaN,NaN,891,NaN,NaN
1407141451,7.63166666667,11.352,NaN,NaN,NaN
1407141454,NaN,NaN,NaN,376.785714286,0
1407141616,NaN,NaN,722,NaN,NaN
1407141752,5.96312292359,12.0332225914,NaN,NaN,NaN
1407141755,NaN,NaN,NaN,107.857142857,0
1407141910,NaN,NaN,477,NaN,NaN
1407142052,14.7616666667,16.0633333333,NaN,NaN,NaN
1407142055,NaN,NaN,NaN,0,182.857142857
1407142214,NaN,NaN,274,NaN,NaN
1407142352,15.4234113712,13.989632107,NaN,NaN,NaN
1407142356,NaN,NaN,NaN,0,361.785714286
1407142525,NaN,NaN,352,NaN,NaN
1407142652,7.80398671096,9.27607973422,NaN,0,107.037037037
1407142812,NaN,NaN,335,NaN,NaN
1407142948,NaN,NaN,NaN,0,336.071428571
1407142952,8.995,15.8403333333,NaN,NaN,NaN
1407143114,NaN,NaN,130,NaN,NaN
1407143250,NaN,NaN,NaN,0,491.428571429
1407143252,15.9866220736,13.1010033445,NaN,NaN,NaN
1407143410,NaN,NaN,103,NaN,NaN
1407143551,5.67666666667,8.199,NaN,0,383.928571429
1407143712,NaN,NaN,73,NaN,NaN
1407143852,7.0096345515,7.8488372093,NaN,0,385
1407144013,NaN,NaN,71,NaN,NaN
1407144152,7.92066666667,9.69866666667,NaN,NaN,NaN
1407144153,NaN,NaN,NaN,0,438.571428571
1407144307,NaN,NaN,144,NaN,NaN
1407144451,7.61233333333,31.7626666667,NaN,NaN,NaN
1407144454,NaN,NaN,NaN,0,793.928571429
1407144610,NaN,NaN,218,NaN,NaN
1407144751,3.04849498328,1535.49197324,NaN,NaN,NaN
1407144755,NaN,NaN,NaN,0,599.892857143
1407144908,NaN,NaN,274,NaN,NaN
1407145051,0,980.811960133,NaN,NaN,NaN
1407145056,NaN,NaN,NaN,2425.57142857,0
1407145207,NaN,NaN,254,NaN,NaN
1407145351,0,824.162,NaN,NaN,NaN
1407145352,NaN,NaN,NaN,0,1122.44444444
1407145508,NaN,NaN,333,NaN,NaN
1407145648,NaN,NaN,NaN,0,2046.53571429
1407145651,0,779.943,NaN,NaN,NaN
1407145811,NaN,NaN,492,NaN,NaN
1407145949,NaN,NaN,NaN,530,0
1407145951,0,677.459,NaN,NaN,NaN
1407146108,NaN,NaN,577,NaN,NaN
1407146250,NaN,NaN,NaN,725.607142857,0
1407146251,5.621,589.710666667,NaN,NaN,NaN
1407146409,NaN,NaN,691,NaN,NaN
1407146550,NaN,NaN,NaN,191.071428571,0
1407146551,13.692,28.5053333333,NaN,NaN,NaN
1407146711,NaN,NaN,775,NaN,NaN
1407146851,5.37666666667,7.24933333333,NaN,250,0
1407147009,NaN,NaN,820,NaN,NaN
1407147151,6.90266666667,6.69133333333,NaN,NaN,NaN
